the_geom,GEOID20,COUNCIL_DI,Total Population 2020,Total Hispanic Pop 2020,Total NH White 2020,Total NH Black 2020,Total NH AM Indian AK Native 2020,Total NH Asian 2020,Total NH Native Hawaiian 2020,Total NH Other Races 2020,Total NH Two or More Races 2020,Total Housing Units 2020,Occupied Housing Units 2020,Vacant Housing Units 2020,GEOID20_1,Total City Sponsored Affordable Units,Total Citywide Affordable Units,TRACTCE10,GEOID10,NAME10,GeoIDNum,GEOID_1,GEOID1,NAME_1,GENTRIFICATION Typology,VULNERABLE Pop,DEMOGRAPHIC Change,HOUSING_MARKET,DISPLACEMENT RISK,DESCRIPTION,FIPS,Geographic,Total_Population_2019,White (Not Hispanic)_2019,POC%_2019,White (Not Hispanic)%_2019,Population 25 and older_2019,Education: Less than HS_2019,Education: HS Graduate_2019,Education: Some College_2019,Education: Bachelors_2019,Percent without Bachelors_2019,Percent with Bachelors_2019,Pop under 18 for whom poverty is determined_2019,Population below poverty_2019,Percent Child Poverty_2019,Occupied Housing Units_2019,Owner Occupied Housing Units_2019,Renter Occupied Housing Units_2019,Percent Renter Occupied Units_2019,Percent Owner Occupied Units_2019,Sum of Lowmoduniverse_2019,Sum of Lowmod_2019,Percent Lowmod_2019,Median Family Income_2019,Median Home Value_2019,Median Gross Rent_2019,Quadrant_2019,Percent severely rent burdened_2019
"MULTIPOLYGON (((-97.69824018104913 30.317840429326626, -97.69876861728312 30.318096227552893, -97.6981404008466 30.318642542396507, -97.69814259973779 30.31861797321862, -97.6981538703921 30.318501808612254, -97.69824018104913 30.317840429326626)))",484530021041006,1,111,33,62,10,0,0,0,0,6,45,45,0,484530021041006,0,0,002104,48453002104,21.04,48453002104,48453002104,48453002104,Ridgetop,Continued Loss,NO,YES,Appreciated,Chronic Displacment,Vulnerable populations have been displaced; significant demographic change has occurred; housing market is high value and appreciated,48453002104,14000US48453002104,3304,1769,0.44,0.535411622276,2264,262,221,502,1279,0.44,0.56,848,443,0.52,1218,818,400,0.33,0.67,3585,2150,0.60,105083,340500,1215,Northeast,0.30
"MULTIPOLYGON (((-97.71419561889765 30.256619214442274, -97.71458661819932 30.25574421468761, -97.71591461866353 30.25619021454177, -97.7158076186333 30.25642421478655, -97.71558461833625 30.256920215026174, -97.7155076182277 30.25707821435381, -97.71419561889765 30.256619214442274)))",484530009023023,3,39,11,23,0,0,3,0,0,2,24,24,0,484530009023023,0,0,000902,48453000902,9.02,48453000902,48453000902,48453000902,East Austin,Late,YES,YES,Appreciated,Active Displacement,Vulnerable populations present; active demographic change; accelerating or appreciating housing market,48453000902,14000US48453000902,5581,2055,0.41,0.368213581795,4495,785,962,703,2045,0.55,0.45,833,384,0.46,2746,900,1846,0.67,0.33,4995,3655,0.73,51626,348600,1215,East,0.17
"MULTIPOLYGON (((-97.684866613903 30.31126322670376, -97.68451561350123 30.31094022582942, -97.68289661316877 30.310191225968452, -97.68371761326871 30.308838225179635, -97.68432361320221 30.307897226124922, -97.68458361364193 30.30741222508435, -97.684566613486 30.30688922540222, -97.68456961361007 30.30651022531408, -97.6846866132132 30.306183224836268, -97.68552561366398 30.306576225033563, -97.68551861314188 30.30786922583463, -97.68587261342364 30.30841322573987, -97.68640661408871 30.308801225761325, -97.68624861428543 30.309136226014754, -97.68607761409676 30.30959122615025, -97.68592461327297 30.310369226628502, -97.68578261426634 30.310635226263205, -97.68560361405328 30.310801226842138, -97.68550861386764 30.310916225984936, -97.6854336140625 30.311036226674865, -97.6853886136633 30.311145226494045, -97.68537161434101 30.3111952258384, -97.68536361377305 30.31126722639808, -97.68534961373064 30.311390225939626, -97.6853356138732 30.31146322690575, -97.68530161315743 30.311591226514413, -97.68527661447202 30.3116422264468, -97.684866613903 30.31126322670376)))",484530021123002,1,124,39,69,14,0,0,0,1,1,61,51,10,484530021123002,0,0,002112,48453002112,21.12,48453002112,48453002112,48453002112,University Hills West,Stable,YES,NO,Appreciated,Vulnerable,Vulnerable populations present; no significant demographic change; some areas are near high value and high appreciation areas,48453002112,14000US48453002112,5426,1720,0.44,0.316992259491,3519,859,993,481,1186,0.66,0.34,1679,1012,0.60,1891,658,1233,0.65,0.35,5310,3880,0.73,40842,321200,1084,Northeast,0.46
"MULTIPOLYGON (((-97.75808285353419 30.205555325930824, -97.75807339136459 30.205178684539604, -97.75979262749661 30.203105201922074, -97.76017362713276 30.202645202834308, -97.76033362746085 30.202452202904826, -97.76116662703323 30.20142520173875, -97.76121862661736 30.201453202601066, -97.7612936277665 30.201505201936904, -97.76132862714958 30.201525202264122, -97.76139762705726 30.201558201473777, -97.76048762691632 30.20268020213963, -97.76030762686592 30.20289820287813, -97.75974362690825 30.2035782030245, -97.75896962670399 30.204514203154346, -97.75819562594974 30.205544203240592, -97.75815662626802 30.20559520298904, -97.75808285353419 30.205555325930824)))",484530024112001,2,0,0,0,0,0,0,0,0,0,0,0,0,484530024112001,0,0,002411,48453002411,24.11,48453002411,48453002411,48453002411,Franklin Park West,Susceptible,YES,NO,Adjacent,Vulnerable,Vulnerable populations present; no significant demographic change; some areas are near high value and high appreciation areas,48453002411,14000US48453002411,7419,711,0.00,0.0958350181965,4270,1686,1386,800,398,0.91,0.09,2232,772,0.35,1985,792,1193,0.60,0.40,6715,5135,0.76,41448,112200,1189,Southeast,0.33
"MULTIPOLYGON (((-97.71744661798186 30.23172020986699, -97.71729061767574 30.23164720939444, -97.71735861814304 30.23153820911738, -97.71737861785844 30.231505210114687, -97.71751261785481 30.23159720939292, -97.71785561833943 30.23170420988013, -97.7182086185165 30.231791209224085, -97.71884961855469 30.231919209457363, -97.71940261882307 30.232029209914057, -97.71997461786246 30.23214820937006, -97.72028361960213 30.23225120879922, -97.72042961901592 30.232324209989706, -97.72040361852441 30.23239820952836, -97.72039261879867 30.232431209413626, -97.72038461846319 30.23245420935842, -97.72011361850987 30.232342209528113, -97.71958761862781 30.232225209658242, -97.71876661813025 30.232049209543213, -97.718009618402 30.231884209334947, -97.71744661798186 30.23172020986699)))",484530023144002,3,0,0,0,0,0,0,0,0,0,0,0,0,484530023144002,0,0,002314,48453002314,23.14,48453002314,48453002314,48453002314,East Riverside - Oltorf,Early: Type 1,YES,NO,Accelerating,Active Displacement,Vulnerable populations present; active demographic change; accelerating or appreciating housing market,48453002314,14000US48453002314,5392,1815,0.00,0.336609792285,3572,706,752,709,1405,0.61,0.39,777,374,0.48,2420,209,2211,0.91,0.09,4855,4415,0.91,57023,283500,1219,Southeast,0.21
"MULTIPOLYGON (((-97.74685262249947 30.179575198847576, -97.74690462284786 30.179243198861187, -97.74705062251225 30.178779197921344, -97.74731662287348 30.178220197869873, -97.7473526226236 30.178167198332403, -97.74746862311622 30.17799219778367, -97.74777062266732 30.177690197722253, -97.7481756225588 30.177286197400864, -97.74824062315524 30.177228197845253, -97.74832762220248 30.177276197472096, -97.74826462292096 30.177334197783267, -97.74790262283503 30.177716198093794, -97.74767762303178 30.177953197602918, -97.74745362233406 30.17822919865247, -97.74709462340539 30.17897219828732, -97.74707362255816 30.179043198263095, -97.74698262192778 30.179633198878314, -97.74685262249947 30.179575198847576)))",484530024422003,2,0,0,0,0,0,0,0,0,0,0,0,0,484530024422003,0,0,002427,48453002427,24.27,48453002427,48453002427,48453002427,Bluff Springs,Susceptible,YES,NO,Adjacent,Vulnerable,Vulnerable populations present; no significant demographic change; some areas are near high value and high appreciation areas,48453002427,14000US48453002427,8046,945,0.00,0.11744966443,4851,1912,962,1207,770,0.84,0.16,2188,481,0.22,2593,1329,1264,0.49,0.51,8260,5750,0.70,57867,156500,1239,Southeast,0.38
"MULTIPOLYGON (((-97.73121462137834 30.23757921013696, -97.73073862106962 30.237373209840914, -97.7298406207515 30.236723209708853, -97.7302636215865 30.235953210308, -97.73074562146682 30.236098209791173, -97.73127562223536 30.236420210426687, -97.73151962187387 30.2364712097443, -97.73174062195154 30.236391209649646, -97.73196062155911 30.23600420962225, -97.73214262108024 30.23592320925863, -97.73298262179908 30.236251209864363, -97.73276062256747 30.236711210095407, -97.7323536225485 30.236939209928433, -97.73191762179626 30.23771721025333, -97.73121462137834 30.23757921013696)))",484530023151000,3,119,48,37,5,0,8,0,3,18,31,26,5,484530023151000,0,0,002315,48453002315,23.15,48453002315,48453002315,48453002315,East Riverside - Pleasant Valley,Susceptible,YES,NO,Adjacent,Vulnerable,Vulnerable populations present; no significant demographic change; some areas are near high value and high appreciation areas,48453002315,14000US48453002315,2954,871,0.69,0.294854434665,2248,684,323,484,757,0.66,0.34,401,187,0.47,1479,227,1252,0.85,0.15,3050,2505,0.82,30300,107100,1079,Southeast,0.17
"MULTIPOLYGON (((-97.69737961469643 30.269328217520485, -97.70019561574574 30.270296218249076, -97.69985961583409 30.271007218029226, -97.69766961470397 30.270206217863574, -97.69737961469643 30.269328217520485)))",484530008011010,3,75,39,30,3,1,1,0,0,1,30,30,0,484530008011010,0,0,000801,48453000801,8.01,48453000801,48453000801,48453000801,Eastview,Late,YES,YES,Appreciated,Active Displacement,Vulnerable populations present; active demographic change; accelerating or appreciating housing market,48453000801,14000US48453000801,1794,657,0.60,0.366220735786,1403,336,277,325,465,0.67,0.33,306,46,0.15,648,369,279,0.43,0.57,1560,875,0.56,67778,363700,912,East,0.02
"MULTIPOLYGON (((-97.70907261542054 30.227480208732405, -97.7092416163965 30.227189209110072, -97.71078361686293 30.227955209396985, -97.71059761617134 30.22825320978567, -97.70907261542054 30.227480208732405)))",484530023145005,3,50,17,20,11,0,0,0,0,2,17,8,9,484530023145005,0,0,002314,48453002314,23.14,48453002314,48453002314,48453002314,East Riverside - Oltorf,Early: Type 1,YES,NO,Accelerating,Active Displacement,Vulnerable populations present; active demographic change; accelerating or appreciating housing market,48453002314,14000US48453002314,5392,1815,0.60,0.336609792285,3572,706,752,709,1405,0.61,0.39,777,374,0.48,2420,209,2211,0.91,0.09,4855,4415,0.91,57023,283500,1219,Southeast,0.21
"MULTIPOLYGON (((-97.72704562506476 30.32871022771028, -97.72519962416646 30.327809227625394, -97.72633362440682 30.325965227184504, -97.72664562414842 30.32615422695529, -97.72678662443377 30.326259227662604, -97.72688762475588 30.32638522837853, -97.72712462559323 30.32675022826756, -97.72715462439123 30.32684722774142, -97.72726962506496 30.327171227905286, -97.72732162536573 30.327398228196216, -97.7273616253644 30.32759722743606, -97.72738662518215 30.32786222807995, -97.72742462427485 30.32803522789407, -97.72761162561473 30.32853122759129, -97.72741362556812 30.328890227727214, -97.72704562506476 30.32871022771028)))",484530015054010,7,0,0,0,0,0,0,0,0,0,0,0,0,484530015054010,0,0,001505,48453001505,15.05,48453001505,48453001505,48453001505,Brentwood North,Continued Loss,NO,YES,Appreciated,Chronic Displacment,Vulnerable populations have been displaced; significant demographic change has occurred; housing market is high value and appreciated,48453001505,14000US48453001505,4781,3942,0.00,0.824513700063,3741,68,258,985,2430,0.35,0.65,798,16,0.02,2371,1029,1342,0.57,0.43,4230,1515,0.36,106799,425500,1257,North,0.14
"MULTIPOLYGON (((-97.71221762233928 30.34733523247313, -97.71227962207837 30.34724023237168, -97.71243162208623 30.34701023195083, -97.71222962282893 30.346878232906935, -97.71203762175196 30.34675123210282, -97.71170362185298 30.34659123194442, -97.71140462209996 30.346477231930116, -97.71101462168295 30.346373232646226, -97.71051762158974 30.34622023152002, -97.71022162078427 30.346134232256126, -97.7098336213068 30.345989232206186, -97.70962162137327 30.34589123159519, -97.71075662187013 30.344203231493772, -97.71122162186732 30.34363023144313, -97.71178762125177 30.34319823152519, -97.71250562219537 30.343084231242027, -97.71402262333771 30.343525232069513, -97.71497162315099 30.343979231349728, -97.7149586231416 30.3439972312836, -97.71491562245151 30.34403323231278, -97.71489562306495 30.344060231031833, -97.71483462246128 30.344123231876793, -97.71410462255523 30.3448772316568, -97.71390762164853 30.345082231818665, -97.71281962185408 30.346509232605193, -97.7129836221881 30.34671023216494, -97.71269062195384 30.34719823233313, -97.7125886217879 30.347368232501054, -97.71252262145514 30.347467232321097, -97.71246362304643 30.347556232786307, -97.71234762186691 30.347437232122797, -97.71221762233928 30.34733523247313)))",484530400002005,4,0,0,0,0,0,0,0,0,0,0,0,0,484530400002005,0,0,001804,48453001804,18.04,48453001804,48453001804,48453001804,Highland North,Early: Type 1,YES,NO,Accelerating,Active Displacement,Vulnerable populations present; active demographic change; accelerating or appreciating housing market,48453001804,14000US48453001804,6757,1840,0.00,0.272310196833,4947,830,1396,1196,1525,0.69,0.31,1381,631,0.46,2741,717,2024,0.74,0.26,7600,5715,0.75,51766,248600,964,North,0.22
"MULTIPOLYGON (((-97.71949662028 30.258458214834334, -97.71954861921127 30.258283214597327, -97.71973562034195 30.257872215126838, -97.7197746202627 30.257795215027777, -97.71990461940091 30.257550214665873, -97.72087761954158 30.257870214870128, -97.72184162098601 30.25820321461459, -97.72283662068243 30.258556214635348, -97.72378262057686 30.258933214538004, -97.72337262033305 30.259832214644234, -97.71949662028 30.258458214834334)))",484530009023009,3,0,0,0,0,0,0,0,0,0,0,0,0,484530009023009,0,0,000902,48453000902,9.02,48453000902,48453000902,48453000902,East Austin,Late,YES,YES,Appreciated,Active Displacement,Vulnerable populations present; active demographic change; accelerating or appreciating housing market,48453000902,14000US48453000902,5581,2055,0.00,0.368213581795,4495,785,962,703,2045,0.55,0.45,833,384,0.46,2746,900,1846,0.67,0.33,4995,3655,0.73,51626,348600,1215,East,0.17
"MULTIPOLYGON (((-97.72199562423334 30.32295522674913, -97.72207762401071 30.322506226285768, -97.72236762347622 30.322063227054507, -97.72315362293513 30.32243722709392, -97.72314162352917 30.32248922694087, -97.72312262401886 30.322540227035304, -97.72307862355672 30.322621227397935, -97.72291462415761 30.322856226356258, -97.72284562381012 30.322925227109064, -97.72276362326839 30.323031227384238, -97.72270662373539 30.323107227413328, -97.72199562423334 30.32295522674913)))",484530015031004,4,34,9,12,0,0,5,0,0,8,4,4,0,484530015031004,0,0,001503,48453001503,15.03,48453001503,48453001503,48453001503,Highland South,Continued Loss,NO,YES,Appreciated,Chronic Displacment,Vulnerable populations have been displaced; significant demographic change has occurred; housing market is high value and appreciated,48453001503,14000US48453001503,4390,2577,0.65,0.58701594533,3448,259,417,684,2088,0.39,0.61,469,69,0.15,1974,694,1280,0.65,0.35,3985,2175,0.55,88006,338300,1319,North,0.26
"MULTIPOLYGON (((-97.69222561110001 30.223127208314565, -97.69229361119548 30.223066207819798, -97.6924166112146 30.222957208586728, -97.69246261131376 30.22291720857775, -97.69250461097916 30.222877208178325, -97.6925676114929 30.22282020833377, -97.69260461184653 30.22278420869868, -97.69265261153478 30.22273920843754, -97.6927066120074 30.222690209058516, -97.69276461176113 30.22263820789014, -97.69282661100264 30.22258220873933, -97.69295761142486 30.22246420791505, -97.69302561085708 30.22240220904385, -97.69309561180306 30.222339208286705, -97.693166611101 30.222273207916416, -97.69323961076165 30.222206209240642, -97.69331361098699 30.2221392085925, -97.6933876117076 30.22207020921412, -97.69353261125582 30.221938207726154, -97.69359961202984 30.22187420913529, -97.6936676117225 30.221812208144023, -97.69373161102038 30.22175320889253, -97.69379561139603 30.221697209036652, -97.69385661165815 30.221642208480162, -97.69391461221593 30.221590207740224, -97.69396761213943 30.221540208193083, -97.69401461171223 30.22149620829815, -97.69405061218247 30.221461208219978, -97.69409761168154 30.221427209012724, -97.69421661117156 30.221494207997374, -97.69425961141755 30.221534208147506, -97.69436161226417 30.221628207764425, -97.69442161200648 30.221680208351774, -97.69448661187445 30.221735208471557, -97.69455361200406 30.221790208262746, -97.69469761224161 30.221914208854102, -97.69473161177336 30.22194320786063, -97.69469061203077 30.222000208131185, -97.69465961149518 30.222042208047096, -97.6945976126243 30.222098208061155, -97.6945576124894 30.222134207801176, -97.69451261217067 30.222174208380217, -97.69446261241917 30.22221920870743, -97.69440761176938 30.222267208242663, -97.6943496118077 30.22232020902506, -97.69428761186678 30.222375208172263, -97.69422461161969 30.222432208839184, -97.6941616120581 30.222490208389836, -97.6940986116863 30.222547208093538, -97.69403561121547 30.22260420866828, -97.69397461193908 30.222661208045192, -97.69391361216387 30.222716207782042, -97.69379461141871 30.222825208720213, -97.69373661184873 30.22287820834701, -97.69367861148494 30.22293020813146, -97.69362261228476 30.222982208531924, -97.69356661231993 30.223033208189857, -97.69351161079614 30.22308420945541, -97.69345761123952 30.22313420899163, -97.6934046118382 30.223182208765863, -97.69335361083628 30.223229208403453, -97.6933046119779 30.22327320838124, -97.6932516113858 30.22332120807123, -97.69316961198885 30.223396209155716, -97.69312661135713 30.223434209387822, -97.69308261119485 30.22347520915908, -97.69303461208943 30.2235212084987, -97.6929836110868 30.223570209405363, -97.69292761116625 30.22362220860281, -97.69290361113987 30.223643208634698, -97.69287461181983 30.223623208477132, -97.69280461170605 30.22357420792742, -97.69272661160429 30.223516208407677, -97.69268061103578 30.223480208250137, -97.69263261054218 30.22344020823881, -97.69257861112777 30.2233982085343, -97.69252661126207 30.223355208726623, -97.69247361224942 30.22331420865176, -97.6923806108261 30.22323920885356, -97.69231561112056 30.22318420856024, -97.69222561110001 30.223127208314565)))",484530023201023,3,87,28,34,13,0,5,0,3,4,37,37,0,484530023201023,0,0,002312,48453002312,23.12,48453002312,48453002312,48453002312,Montopolis,Early: Type 1,YES,NO,Accelerating,Active Displacement,Vulnerable populations present; active demographic change; accelerating or appreciating housing market,48453002312,14000US48453002312,8590,1731,0.61,0.20151338766,5109,1902,1484,803,920,0.82,0.18,2654,807,0.30,2676,1080,1596,0.60,0.40,7480,6155,0.82,36653,155500,1158,Southeast,0.32
"MULTIPOLYGON (((-97.71181761895672 30.278073219162984, -97.7127346198198 30.277946218261178, -97.71292861964069 30.278924218421814, -97.71199661821677 30.27905621895951, -97.71181761895672 30.278073219162984)))",484530008031005,1,23,6,14,2,0,1,0,0,0,14,0,14,484530008031005,0,0,000803,48453000803,8.03,48453000803,48453000803,48453000803,Chestnut,Continued Loss,NO,YES,Appreciated,Chronic Displacment,Vulnerable populations have been displaced; significant demographic change has occurred; housing market is high value and appreciated,48453000803,14000US48453000803,2941,1766,0.39,0.600476028562,2413,159,317,487,1450,0.40,0.60,243,28,0.12,1107,566,541,0.49,0.51,2220,1335,0.60,113875,466100,1543,East,0.14
"MULTIPOLYGON (((-97.70710861712668 30.27880721911933, -97.70849961858403 30.278623219364885, -97.708429617924 30.27876621903241, -97.708309618614 30.27904921893201, -97.70820361817654 30.279323219441984, -97.70813761743756 30.279509219327704, -97.70809861721149 30.279604219121946, -97.7079956187425 30.279774219427132, -97.70797561869469 30.279823219596857, -97.70796861740129 30.2798742185816, -97.70797561805034 30.27994621964651, -97.7080396173122 30.28026821922352, -97.70805561867725 30.280497219360285, -97.70806961784277 30.280599218906417, -97.70812661856428 30.28083321877688, -97.70814361839808 30.28092222009117, -97.7081686178039 30.28120721933077, -97.70815161830568 30.28154021949836, -97.70812761816964 30.28165321896527, -97.70815561811177 30.281812219746307, -97.70817361787999 30.281885219435917, -97.70806561850885 30.281902219823262, -97.70772461788326 30.28196621963294, -97.70710861712668 30.27880721911933)))",484530008021005,1,41,10,10,19,0,0,0,0,2,16,16,0,484530008021005,0,0,000802,48453000802,8.02,48453000802,48453000802,48453000802,Rosewood,N/A,YES,N/A,Appreciated,Vulnerable,Vulnerable populations present; no significant demographic change; some areas are near high value and high appreciation areas,48453000802,14000US48453000802,3792,1320,0.76,0.348101265823,2490,445,349,637,1059,0.57,0.43,1094,855,0.78,1315,459,856,0.65,0.35,3470,2610,0.75,0,342800,385,East,0.08
"MULTIPOLYGON (((-97.71392662170881 30.338594229972298, -97.71441862168514 30.33782823033758, -97.71549262253636 30.33829022996518, -97.71498562238376 30.339111230561944, -97.71392662170881 30.338594229972298)))",484530400002013,4,44,21,19,4,0,0,0,0,0,11,11,0,484530400002013,0,0,001804,48453001804,18.04,48453001804,48453001804,48453001804,Highland North,Early: Type 1,YES,NO,Accelerating,Active Displacement,Vulnerable populations present; active demographic change; accelerating or appreciating housing market,48453001804,14000US48453001804,6757,1840,0.57,0.272310196833,4947,830,1396,1196,1525,0.69,0.31,1381,631,0.46,2741,717,2024,0.74,0.26,7600,5715,0.75,51766,248600,964,North,0.22
"MULTIPOLYGON (((-97.62740255807904 30.30867317012712, -97.62740700856239 30.308665926937973, -97.62740639606322 30.308665627958195, -97.62740659967933 30.308665227996485, -97.62606659920276 30.30801022786328, -97.62601743889465 30.30798678561986, -97.62532621160868 30.30764894422855, -97.62528759872694 30.307629227511462, -97.62503759896916 30.307505227601705, -97.62474259913536 30.307358227887203, -97.62396038784418 30.3069692349538, -97.62232831579382 30.306156586602654, -97.62231159793863 30.306148227220444, -97.62228959732685 30.306137227672338, -97.62226459851229 30.306124227325366, -97.62195769199538 30.305972043181722, -97.62190158917907 30.305944105763782, -97.62184075188723 30.305913818567536, -97.61951459721254 30.304751227820873, -97.61930266929261 30.304657260101273, -97.61934359691348 30.304587226784093, -97.6196705975752 30.30415122766493, -97.61981259670645 30.303882226988698, -97.61983759665748 30.303843227137673, -97.62008859662365 30.303452226281355, -97.6202735970656 30.30316322665156, -97.6208495972213 30.302267226482222, -97.62142759736145 30.302545226623703, -97.62239559778713 30.30301122650978, -97.62794159994172 30.305682227176955, -97.62754059945429 30.306584227511177, -97.63020659956364 30.307881227471462, -97.630185600329 30.307932227585862, -97.63014460006184 30.30803222755813, -97.63006360011225 30.308253227666537, -97.62997959938916 30.308474227614457, -97.62990459979086 30.308699227142036, -97.62978560030386 30.309055228087807, -97.62977759947115 30.30908722867306, -97.62975190400152 30.309187046918392, -97.62989063873329 30.308122148790428, -97.62989042514258 30.308122571104594, -97.6298906000614 30.308121227561987, -97.62986059986625 30.30817922784153, -97.62983259962994 30.30823822770588, -97.62980559982982 30.308297227910973, -97.62978059992462 30.308356227880527, -97.62975560005755 30.308416227667852, -97.6297326000645 30.30847622812308, -97.62971159997451 30.308536228345396, -97.62969059992646 30.308597228386972, -97.62967159978605 30.30865822819702, -97.62965960068532 30.3086982269307, -97.62965360012163 30.308719227450442, -97.62953960020143 30.309128227604734, -97.62954033793605 30.309128437174426, -97.62954031254259 30.30912852687537, -97.6296624415154 30.309163209055367, -97.62969059975615 30.309171227631982, -97.6296424005116 30.30934810336492, -97.62946062941374 30.31000285093002, -97.62885259924151 30.30972122820567, -97.62883660025886 30.30971322776355, -97.62809259962617 30.309368227986038, -97.6272855993951 30.308994227295212, -97.62726359930043 30.308946228018, -97.62740255807904 30.30867317012712)))",484530022211030,1,57,15,30,4,0,4,0,0,4,40,30,10,484530022211030,0,0,002202,48453002202,22.02,48453002202,48453002202,48453002202,Daffin Gin Park,Susceptible,YES,NO,Adjacent,Vulnerable,Vulnerable populations present; no significant demographic change; some areas are near high value and high appreciation areas,48453002202,14000US48453002202,9747,456,0.47,0.046783625731,5138,2192,1634,745,567,0.89,0.11,3621,1628,0.45,2615,1271,1344,0.51,0.49,8490,6780,0.80,44314,94900,1211,Northeast,0.41
"MULTIPOLYGON (((-97.6795506118148 30.30275922494565, -97.68020661265432 30.301796223868386, -97.68027161149888 30.300871224864554, -97.68003461136551 30.300272224521382, -97.67955461178532 30.29927222383207, -97.68006461219971 30.298938224256766, -97.68052061164121 30.299330224624264, -97.6809366115436 30.299371224042265, -97.68144661199946 30.29942122432877, -97.68134961276284 30.300283224101122, -97.68127161198952 30.301279224185695, -97.68119561249024 30.30209222478357, -97.68048761170702 30.303161224433524, -97.68025761243187 30.303063224520276, -97.68002861241015 30.30296422430616, -97.6795506118148 30.30275922494565)))",484530021073004,1,128,42,35,45,0,1,0,0,5,45,45,0,484530021073004,0,0,002107,48453002107,21.07,48453002107,48453002107,48453002107,MLK North,Dynamic,YES,YES,Accelerating,Active Displacement,Vulnerable populations present; active demographic change; accelerating or appreciating housing market,48453002107,14000US48453002107,4988,1656,0.73,0.331996792302,3517,658,913,738,1208,0.66,0.34,1147,149,0.13,1594,895,699,0.44,0.56,4155,3150,0.76,61932,280900,1070,Northeast,0.27
"MULTIPOLYGON (((-97.69966594608755 30.33079696991298, -97.69958378397544 30.330332191013426, -97.69957506193862 30.330245150445062, -97.70030361785894 30.329101228957672, -97.70134261851793 30.329620229550766, -97.70037561767965 30.331135229330016, -97.69966594608755 30.33079696991298)))",484530434001003,4,102,80,11,7,0,0,0,0,4,26,26,0,484530434001003,0,0,001812,48453001812,18.12,48453001812,48453001812,48453001812,St. Johns,Early: Type 1,YES,NO,Accelerating,Active Displacement,Vulnerable populations present; active demographic change; accelerating or appreciating housing market,48453001812,14000US48453001812,7889,1552,0.89,0.196729623526,5324,1875,1222,953,1274,0.76,0.24,1847,826,0.45,3014,354,2660,0.88,0.12,8030,6700,0.83,41121,253900,1074,North,0.31
"MULTIPOLYGON (((-97.77341563100312 30.216537204303457, -97.77403063058944 30.216527204993643, -97.77416663151702 30.216706205109908, -97.77417363111321 30.2169922046685, -97.7742376317992 30.217420204529315, -97.77411063117273 30.217689204547316, -97.77300163071925 30.217109204400646, -97.77341563100312 30.216537204303457)))",484530020032007,3,45,21,15,3,1,1,0,0,4,8,8,0,484530020032007,0,0,002003,48453002003,20.03,48453002003,48453002003,48453002003,West Congress,Early: Type 1,YES,NO,Accelerating,Active Displacement,Vulnerable populations present; active demographic change; accelerating or appreciating housing market,48453002003,14000US48453002003,4175,1796,0.67,0.430179640719,2802,361,571,1020,850,0.70,0.30,977,128,0.13,1538,630,908,0.59,0.41,4115,2535,0.62,46774,275100,984,South,0.28
"MULTIPOLYGON (((-97.6682096101951 30.319821228748026, -97.66878060969866 30.319872227832082, -97.66904560974073 30.319897228195348, -97.66924461034182 30.319922228986986, -97.66939761084974 30.319936228556617, -97.66954261004021 30.319920228819313, -97.66968761061077 30.319883228363487, -97.6698166102046 30.319814227943752, -97.66991460978663 30.319738228047072, -97.66999760981365 30.319660228151264, -97.67011761060468 30.31951522886699, -97.67026561001354 30.319364228394928, -97.67038861095791 30.319258227950083, -97.67052261046453 30.319160228758154, -97.67067861045412 30.319082228749277, -97.67089261018262 30.319003228658612, -97.67096361069602 30.319314228226744, -97.67101661056374 30.31971022872966, -97.6710276099392 30.31988622837402, -97.67102561051755 30.320006228442082, -97.67101961118325 30.32007622880351, -97.67099461053907 30.32014322855327, -97.67094461160148 30.320229228055656, -97.67088261132605 30.320308228659332, -97.67081261011802 30.320361228556205, -97.670681610377 30.320430229044355, -97.6704556109577 30.320542228800768, -97.6702826103309 30.320617227931645, -97.67009561056429 30.320673228325937, -97.66990261032494 30.320710229161115, -97.66957661059651 30.320750227860163, -97.66912161064492 30.320743229240676, -97.66877260985032 30.32071822836796, -97.66861260960987 30.320696228453638, -97.6684596099065 30.320657228142466, -97.66836261055097 30.32060922940868, -97.6682476103833 30.32055322875381, -97.66814761039883 30.320489229114536, -97.66807761081101 30.3204252286701, -97.66805261027821 30.320375228977504, -97.66804661017309 30.320308228632772, -97.66806661030978 30.320235228539957, -97.66816660964439 30.32000122882308, -97.66818861013046 30.319931228232733, -97.6682096101951 30.319821228748026)))",484530021133011,1,65,18,32,14,0,0,0,0,1,26,26,0,484530021133011,0,0,002113,48453002113,21.13,48453002113,48453002113,48453002113,University Hills East,Continued Loss,NO,NO,Appreciated,Chronic Displacment,Vulnerable populations have been displaced; significant demographic change has occurred; housing market is high value and appreciated,48453002113,14000US48453002113,3703,1799,0.51,0.485822306238,2877,315,368,758,1436,0.50,0.50,677,133,0.20,1408,887,521,0.37,0.63,3605,2195,0.61,74107,316600,1365,Northeast,0.20
